dishid,dishname,dishdescription,dishprice,dishavailable,dishimgpath,storeId
1,Chicken Rice,Tender chicken served with flavorful rice,3.5,1,https://picsum.photos/200/200?random=1,1
2,Hainanese Chicken,Poached chicken with soy sauce and sesame oil,18,1,https://picsum.photos/200/200?random=2,1
3,Carrot Cake,"A stir-fried dish made from radish cake cubes, often with eggs and preserved radish",4,1,https://picsum.photos/200/200?random=3,2
4,Char Kway Teow,"Stir-fried flat rice noodles with shrimp, bloody cockles, and egg",5,1,https://picsum.photos/200/200?random=4,2
5,Fried Oysters,Deep-fried oysters in batter,6,1,https://picsum.photos/200/200?random=5,2
6,Hokkien Mee,Stir-fried prawn noodles,5,1,https://picsum.photos/200/200?random=6,2
7,Laksa,Noodles in spicy coconut soup,4,1,https://picsum.photos/200/200?random=7,3
8,Fish Balls,Spongy fish balls in broth,4,0,https://picsum.photos/200/200?random=8,3
9,Otah,Grilled fish cake wrapped in banana leaves,3,0,https://picsum.photos/200/200?random=9,4
10,Chicken Satay,Grilled chicken skewers,0.8,0,https://picsum.photos/200/200?random=10,4
11,Beef Satay,Grilled beef skewers,1,1,https://picsum.photos/200/200?random=11,4
12,Mutton Satay,Grilled mutton skewers,1,1,https://picsum.photos/200/200?random=12,4
13,Plain Prata,Flaky Indian flatbread,1,1,https://picsum.photos/200/200?random=13,5
14,Egg Prata,Prata with a beaten egg filling,1.5,1,https://picsum.photos/200/200?random=14,5
15,Curry,Spicy gravy usually paired with prata,2,1,https://picsum.photos/200/200?random=15,5
16,Wanton Mee,Noodles with pork dumplings,4,1,https://picsum.photos/200/200?random=16,6
17,Fried Wanton,Deep-fried dumplings,5,1,https://picsum.photos/200/200?random=17,6
18,Char Siew,Roasted pork,6,0,https://picsum.photos/200/200?random=18,6
19,Chwee Kueh,Steamed rice cake with preserved radish topping,2,0,https://picsum.photos/200/200?random=19,7
20,Soon Kueh,Steamed turnip dumplings,2,0,https://picsum.photos/200/200?random=20,7
21,Peng Kueh,Glutinous rice dumplings with peanut filling,2.5,1,https://picsum.photos/200/200?random=21,7
22,Nasi Lemak,"Fragrant rice dish cooked in coconut milk and pandan leaf, served with various side dishes",2.5,0,https://picsum.photos/200/200?random=22,8
23,Sambal Chili,Spicy chili condiment,3,1,https://picsum.photos/200/200?random=23,8
24,Fried Chicken Wings,Crispy deep-fried wings,2,0,https://picsum.photos/200/200?random=24,8
25,Popiah,Fresh spring roll with fillings,3,0,https://picsum.photos/200/200?random=25,9
26,Kueh Pie Tee,Crispy pastry tart with savory filling,3,0,https://picsum.photos/200/200?random=26,9
27,Lumpia,Deep-fried spring roll,4,1,https://picsum.photos/200/200?random=27,9
28,Mee Rebus,Noodles in a thick gravy,4,1,https://picsum.photos/200/200?random=28,10
29,Begedil,Fried potato patties,3,1,https://picsum.photos/200/200?random=29,10
30,Gado-Gado,Mixed vegetable salad with peanut sauce,4,1,https://picsum.photos/200/200?random=30,10
31,Bak Kut Teh,Pork rib soup with spices,5,1,https://picsum.photos/200/200?random=31,11
32,You Tiao,Fried dough fritters,1.5,1,https://picsum.photos/200/200?random=32,11
33,Braised Peanuts,Soft peanuts in soy sauce,2.3,1,https://picsum.photos/200/200?random=33,11
34,Fruit Rojak,Mixed fruit salad with shrimp paste sauce,4,0,https://picsum.photos/200/200?random=34,12
35,Mamak Rojak,Mixed ingredients with peanut sauce,5,0,https://picsum.photos/200/200?random=35,12
36,Tauhu Goreng,Fried tofu with peanut sauce,3,0,https://picsum.photos/200/200?random=36,12
37,Fish & Chips,Deep-fried fish fillet served with fries,7,1,https://picsum.photos/200/200?random=37,13
38,Grilled Chicken Chop,Grilled chicken served with mashed potatoes and veggies,6.5,0,https://picsum.photos/200/200?random=38,13
39,Pasta Aglio e Olio,"Spaghetti with garlic, chili, and olive oil",5.8,1,https://picsum.photos/200/200?random=39,13
40,Beef Steak,Juicy grilled beef steak,7.9,0,https://picsum.photos/200/200?random=40,13
41,Chicken Caesar Salad,"Salad with chicken, romaine lettuce, and Caesar dressing",5.6,0,https://picsum.photos/200/200?random=41,13
