ingredientid,ingredientname,ingredientqty,ingredientmin,ingredientmax,expirydate,ingredientunit
1,What Storage,90,49,74,2024-01-01,Clearlys,1
2,Test Storage,46,16,108,2024-05-02,Despites,2
3,Finally Storage,88,44,127,2024-10-07,Interviews,3
4,Indeed Storage,93,26,99,2025-02-28,Characters,4
5,Ground Storage,100,9,82,2023-12-20,Institutions,5
6,Final Storage,84,29,60,2025-01-01,Continues,6
7,Once Storage,63,41,96,2024-10-18,Authors,7
8,Unit Storage,83,35,126,2024-05-26,Becauses,8
9,Ok Storage,10,21,95,2024-08-04,Economys,9
10,Religious Storage,49,22,102,2024-08-14,Wills,10
